iter	MAE
0	1.008045024
1	0.9996082192
2	0.9913776055
3	0.9837285414
4	0.9762912902
5	0.9694203612
6	0.9628466938
7	0.9568752321
8	0.9516621349
9	0.9467212705
10	0.938565322
11	0.9352818539
12	0.9262626405
13	0.9228621982
14	0.917098858
15	0.9145218096
16	0.9103003368
17	0.9065648187
18	0.9023974232
19	0.8983642211
20	0.8952935664
21	0.8935044288
22	0.8908518288
23	0.8890893648
24	0.8859640109
25	0.8826672742
26	0.8800726778
27	0.8770625468
28	0.8749278051
29	0.8728145801
30	0.8717321787
31	0.866569922
32	0.8645234321
33	0.8627957527
34	0.8611332244
35	0.8597734794
36	0.858248533
37	0.8570153219
38	0.8553221353
39	0.8537510102
40	0.852328592
41	0.8513684873
42	0.8502877412
43	0.8492099543
44	0.8483750954
45	0.8474676902
46	0.8457157037
47	0.8450243937
48	0.8443441039
49	0.8427791081
50	0.841267844
51	0.8398395924
52	0.8385675604
53	0.8373452049
54	0.8362989925
55	0.8352963312
56	0.8344194773
57	0.833619222
58	0.8327076403
59	0.8322035979
60	0.8313751642
61	0.8310452771
62	0.8309174081
63	0.8300220431
64	0.8293117999
65	0.8286157248
66	0.8281955237
67	0.8275972045
68	0.8271250373
69	0.8268023606
70	0.8262700581
71	0.8260344085
72	0.8256003786
73	0.8250723421
74	0.8247156485
75	0.8241704638
76	0.8239490118
77	0.823757011
78	0.8234822018
79	0.8230630259
80	0.8228429696
81	0.8227237186
82	0.8223375211
83	0.8222987858
84	0.822185589
85	0.8220709004
86	0.8220404755
87	0.8217650868
88	0.8215722238
89	0.8215142967
90	0.8211999841
91	0.8206600143
92	0.8205895814
93	0.8204514155
94	0.8202776213
95	0.8200264692
96	0.8198022058
97	0.8194415652
98	0.8193753518
99	0.8193252209
100	0.8192812578
101	0.8188267387
102	0.8186127968
103	0.8185220803
104	0.8178852548
105	0.8177440211
106	0.8174934201
107	0.8174031217
108	0.8173380898
109	0.8172951749
110	0.8169295325
111	0.8169105661
112	0.8167217441
113	0.8166832505
114	0.8166126369
115	0.81656647
116	0.8164356659
117	0.8163133677
118	0.8161209001
119	0.8159385517
120	0.8158713786
121	0.8158481498
122	0.8157344127
123	0.8155728697
124	0.815420872
125	0.8152738492
126	0.8151298648
127	0.8150785171
128	0.8149676987
129	0.8148613267
130	0.8147256006
131	0.8146363021
132	0.814519917
133	0.8139818886
134	0.8138634491
135	0.8135838173
136	0.8135608768
137	0.8134137373
138	0.8131619514
139	0.8131184985
140	0.8129816663
141	0.8128824528
142	0.8127700548
143	0.8126103416
144	0.81249016
145	0.8119956222
146	0.8119420544
147	0.8119044697
148	0.8118291586
149	0.8115564069
150	0.8109596547
151	0.8109157302
152	0.8107808266
153	0.8107449175
154	0.8106486636
155	0.8105788753
156	0.8103249486
157	0.8102955217
158	0.8098826922
159	0.8097126926
160	0.8096973108
161	0.8096284184
162	0.8095228641
163	0.8094099209
164	0.8092985053
165	0.80928792
166	0.8092195439
167	0.8085495847
168	0.808486472
169	0.8084187333
170	0.8084022115
171	0.8083277649
172	0.8082907296
173	0.8081641409
174	0.8078658106
175	0.8076557418
176	0.8075344349
177	0.8074584689
178	0.807315754
179	0.8071588313
180	0.8069815679
181	0.8068040402
182	0.8066976517
183	0.8066008109
184	0.806526093
185	0.8064112971
186	0.8063510573
187	0.8061319252
188	0.8059757579
189	0.8057089245
190	0.8056660473
191	0.8055811249
192	0.805490909
193	0.8053634812
194	0.8051498969
195	0.8051063432
196	0.8050786831
197	0.8050428443
198	0.8049205225
199	0.8044062917
200	0.8043249584
201	0.8042396233
202	0.8041990896
203	0.8040540417
204	0.8039894248
205	0.8036228328
206	0.8031322311
207	0.802603384
208	0.8023948654
209	0.8021733358
210	0.8017021445
211	0.801521293
212	0.8010906052
213	0.8010592782
214	0.8009840116
215	0.8009311772
216	0.8006124748
217	0.8005789118
218	0.800439929
219	0.8004101591
220	0.8002487715
221	0.7999007077
222	0.7994994524
223	0.7991590187
224	0.7989792676
225	0.7986895097
226	0.7986075298
227	0.7985455372
228	0.7982765651
229	0.7981991573
230	0.798119789
231	0.7980721344
232	0.7979041845
233	0.7978843979
234	0.7977431256
235	0.7976198189
236	0.7973639807
237	0.7972246001
238	0.7969331567
239	0.7967470747
240	0.7965390575
241	0.7963987708
242	0.7962577631
243	0.7961918607
244	0.7961657701
245	0.7961183509
246	0.7958311866
247	0.7956680273
248	0.7956281209
249	0.7954356811
250	0.7954086305
251	0.7953366803
252	0.7950806907
253	0.7948975554
254	0.7948737226
255	0.7948433184
256	0.7947266385
257	0.7946335241
258	0.7946056259
259	0.7945785508
260	0.7945136286
261	0.7944635702
262	0.7944393555
263	0.7943192735
264	0.7943051641
265	0.7942854534
266	0.7941633473
267	0.7941228992
268	0.7940578563
269	0.7940234896
270	0.7939138494
271	0.7937315781
272	0.7936873531
273	0.7935238543
274	0.7933645529
275	0.7933116397
276	0.7932921357
277	0.7931121018
278	0.7930822969
279	0.7930539552
280	0.7929483962
281	0.7929229238
282	0.7927695942
283	0.792744414
284	0.7925733347
285	0.7925562264
286	0.7925428264
287	0.7924778855
288	0.7922992767
289	0.7920568805
290	0.7920268532
291	0.7919627921
292	0.7919244806
293	0.7919116902
294	0.7918145669
295	0.7918005528
296	0.7917715208
297	0.7917194028
298	0.7916431885
299	0.791451942
300	0.7913062675
301	0.7911782911
302	0.7910151847
303	0.7908409285
304	0.7906750405
305	0.790576062
306	0.7905115923
307	0.7903955984
308	0.7903717547
309	0.7902603339
310	0.7902300462
311	0.7900076087
312	0.7899086273
313	0.7898827348
314	0.7898713354
315	0.7897356102
316	0.7896414766
317	0.7895344775
318	0.7894962053
319	0.7893049158
320	0.789108839
321	0.7890651973
322	0.7889335317
323	0.7888725118
324	0.7888199041
325	0.7886559573
326	0.7886408964
327	0.7886245749
328	0.7885858849
329	0.7885757339
330	0.7884912098
331	0.7884788232
332	0.7883738664
333	0.7883083206
334	0.7882957296
335	0.7881943642
336	0.788101045
337	0.7880618092
338	0.7879598108
339	0.7879138445
340	0.7877775435
341	0.7876518515
342	0.7875914047
343	0.787517958
344	0.7874620607
345	0.7874449054
346	0.7874244413
347	0.7872753058
348	0.7872321426
349	0.7871474479
350	0.7871289074
351	0.7870998527
352	0.7870890435
353	0.7870608622
354	0.7870221789
355	0.7870134609
356	0.7869816915
357	0.7868978356
358	0.7868640082
359	0.7867102435
360	0.7867023642
361	0.7866146729
362	0.7866060542
363	0.786546689
364	0.7865144455
365	0.7865061801
366	0.7863198814
367	0.7862358814
368	0.7861750069
369	0.786161199
370	0.7860853353
371	0.7860632374
372	0.7859009317
373	0.7858313788
374	0.7857589525
375	0.7856749206
376	0.7856296339
377	0.7855804569
378	0.7855467063
379	0.785532565
380	0.7855049232
381	0.785412071
382	0.7853838429
383	0.7853605919
384	0.7853401221
385	0.7851992846
386	0.7851464928
387	0.785137975
388	0.7850956625
389	0.7850832478
390	0.7850792106
391	0.7850639777
392	0.7849560792
393	0.784950388
394	0.7849365216
395	0.7848417998
396	0.7847767255
397	0.7847407049
398	0.7846872211
399	0.7845946278
400	0.7845713073
401	0.7845540348
402	0.7845063197
403	0.7844979196
404	0.7844934411
405	0.7843794809
406	0.7843291376
407	0.7843172253
408	0.7842021744
409	0.7840607791
410	0.7838466281
411	0.7838413501
412	0.7837048102
413	0.7834640344
414	0.7834086499
415	0.7833257583
416	0.7833201164
417	0.7831795157
418	0.7831662434
419	0.7831463429
420	0.7830543286
421	0.7829697683
422	0.7828548111
423	0.7828443913
424	0.7828415495
425	0.7827639271
426	0.7827141924
427	0.7827107385
428	0.7826633433
429	0.7826046521
430	0.7825770171
431	0.7825507892
432	0.7824004883
433	0.7823427889
434	0.7822846045
435	0.7822787733
436	0.7822741619
437	0.7822080524
438	0.7822051646
439	0.7822018865
440	0.7821088763
441	0.7820161251
442	0.7820077282
443	0.7819967955
444	0.7819300497
445	0.7819003833
446	0.7818032224
447	0.7817869455
448	0.7817509355
449	0.7817438661
450	0.7817191974
451	0.7816951565
452	0.7816894098
453	0.7815952749
454	0.78158939
455	0.78149989
456	0.7814194694
457	0.7813506533
458	0.7812914172
459	0.7812354542
460	0.7812317582
461	0.7812262865
462	0.7812132874
463	0.7811204551
464	0.7811057709
465	0.7810256871
466	0.7809579428
467	0.7809049015
468	0.7809028299
469	0.7809000377
470	0.7808984165
471	0.7808500457
472	0.7808208074
473	0.7808198983
474	0.780774163
475	0.7807626693
476	0.780758399
477	0.7807216176
