iter	Passed	Remaining
0	147	88234
1	150	44948
2	152	30279
3	153	22936
4	155	18489
5	156	15513
6	157	13379
7	159	11773
8	160	10517
9	161	9511
10	162	8680
11	163	7989
12	163	7395
13	164	6885
14	165	6442
15	165	6055
16	166	5714
17	167	5408
18	167	5133
19	168	4885
20	169	4660
21	169	4457
22	170	4271
23	170	4100
24	171	3944
25	171	3796
26	172	3660
27	173	3534
28	173	3418
29	174	3309
30	174	3206
31	175	3111
32	175	3019
33	176	2933
34	176	2853
35	177	2776
36	177	2704
37	178	2636
38	178	2571
39	179	2509
40	179	2449
41	180	2393
42	180	2338
43	180	2286
44	181	2236
45	181	2189
46	182	2143
47	182	2100
48	183	2058
49	183	2018
50	183	1979
51	184	1942
52	184	1906
53	185	1871
54	185	1837
55	186	1807
56	186	1776
57	186	1747
58	187	1718
59	187	1690
60	188	1663
61	188	1636
62	188	1610
63	189	1586
64	189	1561
65	190	1538
66	190	1515
67	190	1493
68	191	1472
69	191	1451
70	192	1430
71	192	1410
72	192	1391
73	193	1372
74	193	1354
75	193	1336
76	194	1319
77	194	1302
78	194	1285
79	195	1269
80	195	1253
81	196	1238
82	196	1223
83	196	1208
84	197	1194
85	197	1180
86	197	1167
87	198	1154
88	198	1141
89	199	1128
90	199	1116
91	199	1104
92	200	1092
93	200	1080
94	201	1069
95	201	1058
96	201	1047
97	202	1036
98	202	1025
99	203	1015
100	203	1005
101	203	994
102	204	985
103	204	975
104	204	965
105	205	956
106	205	947
107	206	938
108	206	929
109	206	921
110	207	912
111	207	904
112	207	895
113	208	887
114	208	879
115	208	872
116	209	864
117	209	856
118	210	849
119	210	842
120	210	835
121	211	828
122	211	821
123	212	814
124	212	807
125	212	800
126	213	794
127	213	788
128	214	781
129	214	775
130	214	769
131	215	763
132	215	756
133	215	750
134	216	745
135	216	739
136	217	733
137	217	727
138	217	722
139	218	716
140	218	711
141	218	706
142	219	700
143	219	695
144	219	690
145	220	685
146	220	680
147	221	675
148	221	670
149	221	665
150	222	660
151	222	655
152	222	651
153	223	646
154	223	642
155	224	637
156	224	633
157	224	629
158	225	624
159	225	620
160	225	616
161	226	612
162	226	607
163	227	603
164	227	599
165	227	595
166	228	591
167	228	587
168	228	583
169	229	580
170	229	576
171	230	572
172	230	568
173	230	564
174	231	561
175	231	557
176	231	554
177	232	550
178	232	547
179	232	543
180	233	540
181	233	536
182	234	533
183	234	530
184	234	526
185	235	523
186	235	520
187	235	517
188	236	513
189	236	510
190	237	507
191	237	504
192	237	501
193	238	498
194	238	495
195	238	492
196	239	489
197	239	486
198	240	483
199	240	480
200	240	477
201	241	475
202	241	472
203	241	469
204	242	466
205	242	463
206	242	461
207	243	458
208	243	455
209	244	453
210	244	450
211	244	447
212	245	445
213	245	442
214	245	440
215	246	437
216	246	435
217	246	432
218	247	430
219	247	427
220	248	425
221	248	423
222	248	420
223	249	418
224	249	415
225	250	413
226	250	411
227	250	409
228	251	406
229	251	404
230	251	402
231	252	400
232	252	398
233	253	395
234	253	393
235	253	391
236	254	389
237	254	387
238	255	385
239	255	383
240	255	381
241	256	379
242	256	377
243	257	374
244	257	372
245	257	370
246	258	368
247	258	366
248	258	364
249	259	362
250	259	360
251	259	358
252	260	356
253	260	355
254	260	353
255	261	351
256	261	349
257	262	347
258	262	345
259	262	343
260	263	341
261	263	340
262	263	338
263	264	336
264	264	334
265	264	332
266	265	330
267	265	329
268	266	327
269	266	325
270	266	323
271	267	322
272	267	320
273	267	318
274	268	316
275	268	315
276	268	313
277	269	311
278	269	310
279	269	308
280	270	306
281	270	305
282	271	303
283	271	302
284	271	300
285	272	298
286	272	297
287	272	295
288	273	293
289	273	292
290	273	290
291	274	289
292	274	287
293	274	286
294	275	284
295	275	283
296	276	281
297	276	280
298	276	278
299	277	277
300	277	275
301	277	274
302	278	272
303	278	271
304	279	269
305	279	268
306	279	267
307	280	265
308	280	264
309	280	262
310	281	261
311	281	259
312	281	258
313	282	257
314	282	255
315	283	254
316	283	252
317	283	251
318	284	250
319	284	248
320	284	247
321	285	246
322	285	244
323	285	243
324	286	242
325	286	240
326	286	239
327	287	238
328	287	236
329	288	235
330	288	234
331	288	233
332	289	231
333	289	230
334	289	229
335	290	227
336	290	226
337	290	225
338	291	224
339	291	222
340	291	221
341	292	220
342	292	219
343	292	218
344	293	216
345	293	215
346	294	214
347	294	213
348	294	211
349	295	210
350	295	209
351	295	208
352	296	207
353	296	206
354	296	204
355	297	203
356	297	202
357	297	201
358	298	200
359	298	199
360	298	197
361	299	196
362	299	195
363	299	194
364	300	193
365	300	192
366	301	191
367	301	190
368	301	188
369	302	187
370	302	186
371	302	185
372	303	184
373	303	183
374	304	182
375	304	181
376	304	180
377	305	179
378	305	178
379	305	177
380	306	175
381	306	174
382	306	173
383	307	172
384	307	171
385	307	170
386	308	169
387	308	168
388	309	167
389	309	166
390	309	165
391	310	164
392	310	163
393	310	162
394	311	161
395	311	160
396	311	159
397	312	158
398	312	157
399	312	156
400	313	155
401	313	154
402	314	153
403	314	152
404	314	151
405	315	150
406	315	149
407	315	148
408	316	147
409	316	146
410	316	145
411	317	144
412	317	143
413	318	142
414	318	141
415	318	141
416	319	140
417	319	139
418	319	138
419	320	137
420	320	136
421	320	135
422	321	134
423	321	133
424	322	132
425	322	131
426	322	130
427	323	129
428	323	128
429	323	128
430	324	127
431	324	126
432	324	125
433	325	124
434	325	123
435	325	122
436	326	121
437	326	120
438	327	119
439	327	119
440	327	118
441	328	117
442	328	116
443	328	115
444	329	114
445	329	113
446	329	112
447	330	112
448	330	111
449	330	110
450	331	109
451	331	108
452	332	107
453	332	106
454	332	106
455	333	105
456	333	104
457	333	103
458	334	102
459	334	101
460	334	100
461	335	100
462	335	99
463	335	98
